,AI,EF,issn,journal,nlmuniqueid,rank
0,20.373,1.65524,0028-0836,NATURE,0410462,1
1,4.8961,1.60168,0027-8424,P NATL ACAD SCI USA,7505876,2
2,17.5248,1.41162,0036-8075,SCIENCE,0404511,3
3,3.5175,1.14457,0031-9007,PHYS REV LETT,0401141,4
4,2.7989,0.817303,0002-7863,J AM CHEM SOC,7503056,5
5,1.4281,0.756039,1098-0121,PHYS REV B,,6
6,2.0307,0.742127,0021-9258,J BIOL CHEM,2985121R,7
7,1.3875,0.675752,0003-6951,APPL PHYS LETT,,8
8,21.304,0.66383,0028-4793,NEW ENGL J MED,0255562,9
9,20.554,0.660816,0092-8674,CELL,0413066,10
10,3.3776,0.514213,1433-7851,ANGEW CHEM INT EDIT,0370543,11
11,1.7984,0.501622,1932-6203,PLOS ONE,101285081,12
12,3.2549,0.449625,0270-6474,J NEUROSCI,8102140,13
13,1.8047,0.429616,0004-637X,ASTROPHYS J,9890633,14
14,3.692,0.427942,0006-4971,BLOOD,7603509,15
15,5.56,0.394631,0732-183X,J CLIN ONCOL,8309333,16
16,2.2661,0.369891,0022-1767,J IMMUNOL,2985117R,17
17,3.0995,0.362734,0008-5472,CANCER RES,2984705R,18
18,13.6107,0.360954,0140-6736,LANCET,2985213R,19
19,5.0701,0.345906,1530-6984,NANO LETT,101088070,20
20,5.9733,0.339278,0009-7322,CIRCULATION,0147763,21
21,1.4057,0.332456,0148-0227,J GEOPHYS RES,100971480,22
22,17.5835,0.329901,1061-4036,NAT GENET,9216904,23
23,3.0072,0.304882,0305-1048,NUCLEIC ACIDS RES,0411011,24
24,0.8355,0.301562,0021-8979,J APPL PHYS,2985119R,25
25,1.2451,0.300804,1550-7998,PHYS REV D,,26
26,13.111,0.285664,0098-7484,JAMA-J AM MED ASSOC,7501160,27
27,1.3421,0.284716,1932-7447,J PHYS CHEM C,,28
28,4.0706,0.262413,0935-9648,ADV MATER,9885358,29
29,1.4742,0.254252,0004-6361,ASTRON ASTROPHYS,100971304,30
30,8.9479,0.250753,1097-2765,MOL CELL,9802571,31
31,1.6034,0.248839,0035-8711,MON NOT R ASTRON SOC,100954591,32
32,1.1608,0.246515,1520-6106,J PHYS CHEM B,,33
33,1.5516,0.241003,1359-7345,CHEM COMMUN,9610838,34
34,1.1685,0.240848,1094-4087,OPT EXPRESS,101137103,35
35,1.9391,0.23991,0094-8276,GEOPHYS RES LETT,9882887,36
36,0.9931,0.232653,0021-9606,J CHEM PHYS,0375360,37
37,8.5079,0.227501,0896-6273,NEURON,8809320,38
38,1.1824,0.22322,0743-7463,LANGMUIR,9882736,39
39,17.9245,0.220911,1476-1122,NAT MATER,101155473,40
40,4.884,0.22035,0735-1097,J AM COLL CARDIOL,8301365,41
41,0.9797,0.219831,1050-2947,PHYS REV A,9887339,42
42,6.9507,0.218367,0021-9738,J CLIN INVEST,7802877,43
43,13.3332,0.214699,0009-2665,CHEM REV,2985134R,44
44,8.0181,0.209552,0890-9369,GENE DEV,8711660,45
45,2.538,0.20597,1078-0432,CLIN CANCER RES,9502500,46
46,0.958,0.205905,1539-3755,PHYS REV E,101136452,47
47,1.5928,0.190607,0022-538X,J VIROL,0113724,48
48,1.6039,0.189289,0013-936X,ENVIRON SCI TECHNOL,0213155,49
49,7.8344,0.188512,0022-1007,J EXP MED,2985109R,50
50,1.4158,0.187963,1523-7060,ORG LETT,,51
51,5.5788,0.186318,0021-9525,J CELL BIOL,0375356,52
52,5.8882,0.186069,0960-9822,CURR BIOL,9107782,53
53,1.5531,0.17583,0003-2700,ANAL CHEM,0370536,54
54,23.8609,0.17417,1471-0072,NAT REV MOL CELL BIO,100962782,55
55,3.0188,0.173844,0270-7306,MOL CELL BIOL,8109087,56
56,4.8671,0.173348,0261-4189,EMBO J,8208664,57
57,13.6075,0.172449,1745-2473,NAT PHYS,,58
58,2.8204,0.171682,0950-9232,ONCOGENE,8711562,59
59,1.5319,0.169081,0947-6539,CHEM-EUR J,9513783,60
60,1.459,0.167126,1126-6708,J HIGH ENERGY PHYS,,61
61,12.1561,0.165425,1078-8956,NAT MED,9502015,62
62,13.4347,0.163359,1529-2908,NAT IMMUNOL,100941354,63
63,1.8228,0.161968,0022-2836,J MOL BIOL,2985088R,64
64,1.2683,0.161774,0006-2960,BIOCHEMISTRY-US,0370623,65
65,0.826,0.160561,0006-291X,BIOCHEM BIOPH RES CO,0372516,66
66,8.6177,0.159631,1097-6256,NAT NEUROSCI,9809671,67
67,2.6073,0.159043,1367-4803,BIOINFORMATICS,9808944,68
68,11.6513,0.158769,1465-7392,NAT CELL BIOL,100890575,69
69,1.9154,0.158362,0897-4756,CHEM MATER,9884133,70
70,4.0273,0.157326,2041-8205,ASTROPHYS J LETT,,71
71,11.9807,0.157105,1074-7613,IMMUNITY,9432918,72
72,4.5144,0.1564,0016-5085,GASTROENTEROLOGY,0374630,73
73,5.1071,0.154264,1553-7390,PLOS GENET,101239074,74
74,2.1619,0.153561,1053-8119,NEUROIMAGE,9215515,75
75,1.2404,0.149937,0024-9297,MACROMOLECULES,0365316,76
76,7.8352,0.149589,1544-9173,PLOS BIOL,101183755,77
77,5.4044,0.144018,0959-535X,BRIT MED J,8900488,78
78,2.6719,0.143825,0028-3878,NEUROLOGY,0401060,79
79,2.0296,0.142864,0031-4005,PEDIATRICS,0376422,80
80,1.2359,0.13861,0957-4484,NANOTECHNOLOGY,101241272,81
81,3.6755,0.138526,0950-1991,DEVELOPMENT,8701744,82
82,1.0569,0.138461,0022-3263,J ORG CHEM,2985193R,83
83,8.0889,0.136779,0306-0012,CHEM SOC REV,0335405,84
84,1.0117,0.135787,0953-8984,J PHYS-CONDENS MAT,101165248,85
85,1.65,0.135179,0006-3495,BIOPHYS J,0370626,86
86,3.1215,0.13396,1058-4838,CLIN INFECT DIS,9203213,87
87,2.0313,0.130653,0142-9612,BIOMATERIALS,8100316,88
88,12.9481,0.129421,1087-0156,NAT BIOTECHNOL,9604648,89
89,14.8852,0.128581,1748-3387,NAT NANOTECHNOL,101283273,90
90,2.0026,0.128177,0021-972X,J CLIN ENDOCR METAB,0375362,91
91,1.3397,0.127691,0099-2240,APPL ENVIRON MICROB,7605801,92
92,0.9658,0.127591,0020-1669,INORG CHEM,0366543,93
93,1.1677,0.127083,0146-9592,OPT LETT,7708433,94
94,7.1545,0.127016,1088-9051,GENOME RES,9518021,95
95,1.5754,0.12641,0959-9428,J MATER CHEM,,96
96,17.9489,0.126078,1474-175X,NAT REV CANCER,101124168,97
97,11.1473,0.125119,1548-7091,NAT METHODS,101215604,98
98,1.0915,0.124798,0378-7753,J POWER SOURCES,,99
99,0.8113,0.124653,1089-5639,J PHYS CHEM A,9890903,100
100,7.7091,0.122864,1545-9985,NAT STRUCT MOL BIOL,101186374,101
101,2.18,0.121703,1469-493X,COCHRANE DB SYST REV,,102
102,16.9613,0.121318,1471-0056,NAT REV GENET,100962779,103
103,3.0116,0.12096,0021-9533,J CELL SCI,0052457,104
104,3.7668,0.120827,1936-0851,ACS NANO,101313589,105
105,7.9118,0.12029,0003-4819,ANN INTERN MED,0372351,106
106,3.5216,0.120261,0270-9139,HEPATOLOGY,8302946,107
107,16.8203,0.119692,1474-1733,NAT REV IMMUNOL,101124169,108
108,2.1006,0.118812,1367-2630,NEW J PHYS,,109
109,8.9284,0.11839,1534-5807,DEV CELL,101120028,110
110,1.4405,0.117987,0370-2693,PHYS LETT B,8407789,111
111,0.92,0.117708,0304-3894,J HAZARD MATER,9422688,112
112,28.9002,0.116607,0034-6861,REV MOD PHYS,,113
113,2.3586,0.115582,0012-821X,EARTH PLANET SC LETT,100971345,114
114,3.1597,0.115143,0964-6906,HUM MOL GENET,9208958,115
115,15.267,0.11452,1535-6108,CANCER CELL,101130617,116
116,2.4453,0.114226,0149-5992,DIABETES CARE,7805975,117
117,4.0857,0.113822,1553-7366,PLOS PATHOG,101238921,118
118,1.9259,0.113171,0008-543X,CANCER-AM CANCER SOC,0374236,119
119,2.7215,0.11315,1059-1524,MOL BIOL CELL,9201390,120
120,2.9455,0.112686,1616-301X,ADV FUNCT MATER,,121
121,1.6737,0.112347,0020-7136,INT J CANCER,0042124,122
122,1.2429,0.111607,1463-9076,PHYS CHEM CHEM PHYS,100888160,123
123,1.3583,0.111406,0021-9193,J BACTERIOL,2985120R,124
124,3.8922,0.111143,0195-668X,EUR HEART J,8006263,125
125,3.889,0.108841,0009-7330,CIRC RES,0047103,126
126,4.7602,0.107643,0003-9926,ARCH INTERN MED,0372440,127
127,4.4296,0.107156,1754-2189,NAT PROTOC,,128
128,5.8665,0.10684,0002-9297,AM J HUM GENET,0370475,129
129,0.7237,0.106422,0021-8561,J AGR FOOD CHEM,0374755,130
130,16.1169,0.106116,1471-0048,NAT REV NEUROSCI,,131
131,2.1811,0.105964,0039-2499,STROKE,0235266,132
132,2.9186,0.104165,0012-1797,DIABETES,0372763,133
133,3.7005,0.102819,1073-449X,AM J RESP CRIT CARE,9421642,134
134,2.2874,0.102739,0022-1899,J INFECT DIS,0413675,135
135,1.0438,0.101273,0077-8923,ANN NY ACAD SCI,7506858,136
136,7.2991,0.101202,0001-4842,ACCOUNTS CHEM RES,0157313,137
137,15.9807,0.100822,1934-5909,CELL STEM CELL,,138
138,5.6739,0.100417,0002-8282,AM ECON REV,14810500R,139
139,3.9141,0.099638,0006-8950,BRAIN,0372537,140
140,0.5754,0.099061,0040-4039,TETRAHEDRON LETT,2984819R,141
141,2.2191,0.098774,0032-0889,PLANT PHYSIOL,0401224,142
142,0.9234,0.098694,0021-9673,J CHROMATOGR A,0427043,143
143,2.6477,0.098672,0004-3591,ARTHRITIS RHEUM-US,0370605,144
144,0.5086,0.097443,0925-8388,J ALLOY COMPD,,145
145,2.0462,0.096522,0012-1606,DEV BIOL,0372762,146
146,1.7094,0.096404,1359-6454,ACTA MATER,,147
147,1.3024,0.096358,0022-2623,J MED CHEM,9716531,148
148,2.4542,0.096142,0962-8452,P ROY SOC B-BIOL SCI,101245157,149
149,1.4041,0.095745,0066-4804,ANTIMICROB AGENTS CH,0315061,150
150,1.2879,0.095329,0014-5793,FEBS LETT,0155157,151
151,3.191,0.093872,0006-3223,BIOL PSYCHIAT,0213264,152
152,2.3797,0.093835,0002-9165,AM J CLIN NUTR,0376027,153
153,16.1296,0.093775,1749-4885,NAT PHOTONICS,,154
154,0.9835,0.093653,0013-4686,ELECTROCHIM ACTA,9875994,155
155,0.8518,0.093562,0006-8993,BRAIN RES,0045503,156
156,0.7263,0.092169,0921-5093,MAT SCI ENG A-STRUCT,,157
157,3.8385,0.092012,0737-4038,MOL BIOL EVOL,8501455,158
158,1.1452,0.091758,0306-4522,NEUROSCIENCE,7605074,159
159,0.9713,0.091174,0264-410X,VACCINE,8406899,160
160,0.9003,0.090999,0022-3727,J PHYS D APPL PHYS,1256300,161
161,1.5634,0.09069,0022-3077,J NEUROPHYSIOL,0375404,162
162,2.1564,0.090568,0950-382X,MOL MICROBIOL,8712028,163
163,1.2819,0.090207,0095-1137,J CLIN MICROBIOL,7505564,164
164,2.8514,0.089685,0091-6749,J ALLERGY CLIN IMMUN,1275002,165
165,3.7516,0.089377,1040-4651,PLANT CELL,9208688,166
166,2.2426,0.088759,0892-6638,FASEB J,8804484,167
167,2.1576,0.088636,0012-3692,CHEST,0231335,168
168,2.4748,0.087916,0894-8755,J CLIMATE,,169
169,1.9027,0.086505,0016-6731,GENETICS,0374636,170
170,0.5961,0.08647,0040-6090,THIN SOLID FILMS,,171
171,1.5028,0.086018,0013-7227,ENDOCRINOLOGY,0375040,172
172,0.7273,0.085942,0040-4020,TETRAHEDRON,2984170R,173
173,1.1752,0.083026,0022-5347,J UROLOGY,0376374,174
174,1.9098,0.082694,0022-3751,J PHYSIOL-LONDON,0266262,175
175,1.6456,0.082633,0007-0920,BRIT J CANCER,0370635,176
176,0.9905,0.08249,0960-8524,BIORESOURCE TECHNOL,9889523,177
177,2.607,0.082477,1079-5642,ARTERIOSCL THROM VAS,9505803,178
178,4.1303,0.08219,1474-760X,GENOME BIOL,,179
179,1.306,0.081727,0002-9149,AM J CARDIOL,0207277,180
180,2.6366,0.081672,0012-9658,ECOLOGY,0043541,181
181,2.9351,0.081176,1066-5099,STEM CELLS,9304532,182
182,1.333,0.081116,0022-3042,J NEUROCHEM,2985190R,183
183,6.1877,0.080687,0027-8874,J NATL CANCER I,7503089,184
184,1.1728,0.080679,0295-5075,EPL-EUROPHYS LETT,9886346,185
185,0.9247,0.080644,0556-2813,PHYS REV C,0250143,186
186,1.4778,0.080629,1471-2164,BMC GENOMICS,100965258,187
187,2.1681,0.08036,0090-3493,CRIT CARE MED,0355501,188
188,2.0637,0.07986,0002-9440,AM J PATHOL,0370502,189
189,2.0478,0.079808,0004-6256,ASTRON J,100955716,190
190,0.8409,0.079766,0308-8146,FOOD CHEM,7702639,191
191,0.8998,0.079508,0045-6535,CHEMOSPHERE,0320657,192
192,1.8589,0.079096,0264-6021,BIOCHEM J,2984726R,193
193,2.82,0.078303,1046-6673,J AM SOC NEPHROL,9013836,194
194,0.6956,0.078017,0009-2614,CHEM PHYS LETT,9882685,195
195,1.713,0.078006,1538-4101,CELL CYCLE,,196
196,0.8842,0.077632,1477-9226,DALTON T,101176026,197
197,1.3157,0.077508,1471-2105,BMC BIOINFORMATICS,100965194,198
198,3.3,0.077288,0962-8436,PHILOS T R SOC B,7503623,199
199,1.8987,0.077202,0018-9448,IEEE T INFORM THEORY,,200
200,0.5503,0.077198,0169-4332,APPL SURF SCI,,201
201,2.4231,0.07648,0960-7412,PLANT J,9207397,202
202,5.8675,0.076403,0067-0049,ASTROPHYS J SUPPL S,100955717,203
203,6.2998,0.076256,1549-1277,PLOS MED,101231360,204
204,1.2754,0.076135,0019-9567,INFECT IMMUN,0246127,205
205,1.6172,0.075366,1680-7316,ATMOS CHEM PHYS,,206
206,1.0817,0.075229,0146-0404,INVEST OPHTH VIS SCI,7703701,207
207,1.9631,0.074778,0016-7037,GEOCHIM COSMOCHIM AC,9876074,208
208,1.015,0.074686,0032-3861,POLYMER,,209
209,0.5721,0.073528,0960-894X,BIOORG MED CHEM LETT,9107377,210
210,2.0961,0.073464,0033-8419,RADIOLOGY,0401260,211
211,2.0817,0.07334,0962-1083,MOL ECOL,9214478,212
212,0.8016,0.073063,0013-4651,J ELECTROCHEM SOC,,213
213,2.2101,0.073,0269-9370,AIDS,8710219,214
214,2.997,0.072774,1047-3211,CEREB CORTEX,9110718,215
215,1.3908,0.072388,0953-816X,EUR J NEUROSCI,8918110,216
216,2.5134,0.072372,1613-6810,SMALL,101235338,217
217,8.6062,0.071501,1550-4131,CELL METAB,101233170,218
218,2.0605,0.07127,0085-2538,KIDNEY INT,0323470,219
219,0.9672,0.071023,0003-2670,ANAL CHIM ACTA,0370534,220
220,0.8367,0.070912,0021-9797,J COLLOID INTERF SCI,0043125,221
221,3.0363,0.070665,0003-4932,ANN SURG,0372354,222
222,0.64,0.070323,0888-5885,IND ENG CHEM RES,9882836,223
223,1.5344,0.069902,1535-3893,J PROTEOME RES,101128775,224
224,2.7237,0.069585,1553-734X,PLOS COMPUT BIOL,101238922,225
225,7.4206,0.069136,1470-2045,LANCET ONCOL,100957246,226
226,11.8481,0.0691,1474-1776,NAT REV DRUG DISCOV,101124171,227
227,1.1588,0.069052,0360-3016,INT J RADIAT ONCOL,7603616,228
228,7.9188,0.068985,1474-4422,LANCET NEUROL,101139309,229
229,1.2363,0.068566,0363-6135,AM J PHYSIOL-HEART C,100901228,230
230,2.3708,0.06822,0003-4967,ANN RHEUM DIS,0372355,231
231,1.2616,0.067908,0003-4975,ANN THORAC SURG,15030100R,232
232,3.3286,0.06764,0887-6924,LEUKEMIA,8704895,233
233,0.8309,0.06763,0276-7333,ORGANOMETALLICS,,234
234,4.5436,0.067581,0002-953X,AM J PSYCHIAT,0370512,235
235,4.188,0.067362,0364-5134,ANN NEUROL,7707449,236
236,0.7442,0.067315,0022-247X,J MATH ANAL APPL,9890562,237
237,2.4977,0.067155,0002-9262,AM J EPIDEMIOL,7910653,238
238,7.38,0.067134,1461-023X,ECOL LETT,101121949,239
239,1.03,0.066967,1352-2310,ATMOS ENVIRON,,240
240,2.1572,0.066863,1080-6040,EMERG INFECT DIS,9508155,241
241,9.0177,0.066816,1740-1526,NAT REV MICROBIOL,101190261,242
242,2.1854,0.066412,0194-911X,HYPERTENSION,7906255,243
243,1.7968,0.066136,0923-7534,ANN ONCOL,9007735,244
244,2.5018,0.065199,1420-682X,CELL MOL LIFE SCI,9705402,245
245,7.3531,0.065135,1552-4450,NAT CHEM BIOL,101231976,246
246,1.2076,0.065027,1359-6462,SCRIPTA MATER,,247
247,3.188,0.06455,1354-1013,GLOBAL CHANGE BIOL,9888746,248
248,2.2743,0.063859,0028-646X,NEW PHYTOL,9882884,249
249,6.9504,0.063736,0955-0674,CURR OPIN CELL BIOL,8913428,250
250,3.1857,0.063276,0956-7976,PSYCHOL SCI,9007542,251
251,0.9721,0.063185,1618-2642,ANAL BIOANAL CHEM,,252
252,2.3243,0.063132,0091-6765,ENVIRON HEALTH PERSP,0330411,253
253,5.4356,0.062505,0003-990X,ARCH GEN PSYCHIAT,0372435,254
254,2.1133,0.062323,0002-9270,AM J GASTROENTEROL,0421030,255
255,3.2578,0.062139,0017-5749,GUT,2985108R,256
256,0.6174,0.06169,1751-8113,J PHYS A-MATH THEOR,,257
257,1.0189,0.061519,0048-9697,SCI TOTAL ENVIRON,0330500,258
258,0.644,0.061319,0375-9601,PHYS LETT A,0406646,259
259,1.612,0.061109,1055-9965,CANCER EPIDEM BIOMAR,9200608,260
260,0.9246,0.061043,0377-2217,EUR J OPER RES,100973201,261
261,1.5994,0.060779,0008-6223,CARBON,,262
262,1.3973,0.060453,1525-7797,BIOMACROMOLECULES,100892849,263
263,0.6421,0.060328,1007-9327,WORLD J GASTROENTERO,100883448,264
264,1.3035,0.060171,0043-1354,WATER RES,0105072,265
265,7.9134,0.060085,0169-5347,TRENDS ECOL EVOL,8805125,266
266,2.0059,0.060076,0014-2980,EUR J IMMUNOL,1273201,267
267,1.9586,0.059484,1600-6135,AM J TRANSPLANT,100968638,268
268,0.7203,0.059218,0360-3199,INT J HYDROGEN ENERG,100971333,269
269,2.197,0.058869,0012-186X,DIABETOLOGIA,0006777,270
270,0.3296,0.058782,0021-4922,JPN J APPL PHYS,,271
271,1.3692,0.058007,0021-9991,J COMPUT PHYS,,272
272,0.6336,0.057588,0304-3940,NEUROSCI LETT,7600130,273
273,3.2393,0.057509,1350-9047,CELL DEATH DIFFER,9437445,274
274,0.7405,0.057501,1070-664X,PHYS PLASMAS,,275
275,1.2998,0.057498,0022-1120,J FLUID MECH,100971395,276
276,1.7871,0.057424,1535-7163,MOL CANCER THER,101132535,277
277,0.8034,0.057403,0925-4005,SENSOR ACTUAT B-CHEM,101149755,278
278,0.8982,0.057323,0376-7388,J MEMBRANE SCI,7606202,279
279,0.7173,0.057229,0968-0896,BIOORGAN MED CHEM,9413298,280
280,0.3058,0.05721,0021-8995,J APPL POLYM SCI,,281
281,1.7513,0.057203,0002-8703,AM HEART J,0370465,282
282,1.2488,0.057143,1053-587X,IEEE T SIGNAL PROCES,,283
283,19.755,0.056883,0066-4154,ANNU REV BIOCHEM,2985150R,284
284,1.8631,0.056686,1475-7516,J COSMOL ASTROPART P,,285
285,2.2203,0.056358,0091-7613,GEOLOGY,100971468,286
286,1.888,0.056335,0161-6420,OPHTHALMOLOGY,7802443,287
287,1.454,0.055919,0305-7453,J ANTIMICROB CHEMOTH,7513617,288
288,1.2936,0.055895,1388-2481,ELECTROCHEM COMMUN,,289
289,2.4312,0.05569,0014-3820,EVOLUTION,0373224,290
290,1.1849,0.055652,0022-3565,J PHARMACOL EXP THER,0376362,291
291,1.9489,0.055651,0903-1936,EUR RESPIR J,8803460,292
292,1.2724,0.055588,0277-9536,SOC SCI MED,8303205,293
293,1.1151,0.05534,1536-1276,IEEE T WIREL COMMUN,,294
294,5.3194,0.055218,0105-2896,IMMUNOL REV,7702118,295
295,1.1829,0.055171,1742-464X,FEBS J,101229646,296
296,0.647,0.055068,0034-6748,REV SCI INSTRUM,0405571,297
297,0.5829,0.054935,0167-577X,MATER LETT,,298
298,7.4735,0.054689,0022-1082,J FINANC,,299
299,2.5891,0.054607,1355-8382,RNA,9509184,300
300,0.8128,0.054606,0039-9140,TALANTA,2984816R,301
301,1.5869,0.0546,1744-683X,SOFT MATTER,,302
302,1.2738,0.054571,8750-7587,J APPL PHYSIOL,,303
303,7.3694,0.054332,1752-0894,NAT GEOSCI,,304
304,1.0256,0.054282,0171-8630,MAR ECOL-PROG SER,,305
305,2.9788,0.054249,1535-9476,MOL CELL PROTEOMICS,101125647,306
306,1.9876,0.054169,1538-7933,J THROMB HAEMOST,,307
307,3.7114,0.053842,0907-4449,ACTA CRYSTALLOGR D,9305878,308
308,1.335,0.053791,0007-1188,BRIT J PHARMACOL,7502536,309
309,2.3093,0.05345,0893-133X,NEUROPSYCHOPHARMACOL,,310
310,1.5777,0.053413,0891-5849,FREE RADICAL BIO MED,8709159,311
311,0.9138,0.053397,1528-7483,CRYST GROWTH DES,,312
312,0.611,0.053395,0257-8972,SURF COAT TECH,,313
313,1.6363,0.053389,0550-3213,NUCL PHYS B,,314
314,0.5844,0.05323,0022-2461,J MATER SCI,,315
315,1.592,0.053169,1930-7381,OBESITY,101264860,316
316,1.2383,0.053163,0021-9150,ATHEROSCLEROSIS,0242543,317
317,1.6465,0.053055,0959-8049,EUR J CANCER,9005373,318
318,1.5983,0.05285,0022-0957,J EXP BOT,9882906,319
